Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
P,Brett Kern,TEN,2015,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
PR,Darren Sproles,PHI,2015,10,16,4,0,0,0,0,0,83,317,3,55,388,1,0,0,0,"PFW: 1st Tm All-Conf., FW: 1st Tm, SN: 1st Tm"
PR,Jarvis Landry,MIA,2015,1,16,14,1,1,9,0,0,18,113,1,110,1157,4,0,0,0,"PFW: 1st Tm All-Conf., PFF: 1st Tm"
KR,Cordarrelle Patterson,MIN,2015,2,16,1,0,0,0,0,0,2,15,0,2,10,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
KR,Tyler Lockett,SEA,2015,Rook,16,8,0,0,0,0,0,5,20,0,51,664,6,1,0,0,"AP: 1st Tm, PFF: 2nd Tm"
KR,Taiwan Jones,OAK,2015,4,12,0,0,0,0,0,0,16,74,0,7,106,1,5,0,0,PFW: 1st Tm All-Conf.
KR,Benny Cunningham,STL,2015,2,16,1,0,0,0,0,0,37,140,0,26,250,0,3,0,0,PFF: 2nd Tm
ST,Justin Bethel,ARI,2015,3,16,5,0,0,0,0,0,0,0,0,0,0,0,44,0,2,"PFW: 1st Tm All-Conf., FW: 1st Tm, PFF: 2nd Tm"
ST,Michael Thomas,MIA,2015,2,16,13,0,0,0,0,0,0,0,0,0,0,0,66,0,0,PFF: 1st Tm
ST,Matthew Slater,NWE,2015,7,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,PFW: 1st Tm All-Conf.
PK,Stephen Gostkowski,NWE,2015,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
PK,Dan Bailey,DAL,2015,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
